<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20180425;000000;0.0527500;0.0529000;0.0522800;0.0528700;14507650000
20180426;000000;0.0530000;0.0533500;0.0520800;0.0524000;19838290000
20180427;000000;0.0525500;0.0528000;0.0521700;0.0525700;13578150000
20180428;000000;0.0525700;0.0527200;0.0523500;0.0527000;2590160000
20180430;000000;0.0527200;0.0539700;0.0526500;0.0539700;13289760000
20180502;000000;0.0535300;0.0541400;0.0530800;0.0534000;15468500000
20180503;000000;0.0532800;0.0536600;0.0526100;0.0526100;11545920000
20180504;000000;0.0529900;0.0531100;0.0526500;0.0527500;8573630000
20180507;000000;0.0530900;0.0533000;0.0527200;0.0527700;13203290000
20180508;000000;0.0525700;0.0529500;0.0508500;0.0527000;20393610000
20180510;000000;0.0531100;0.0531700;0.0522400;0.0522500;15540170000
20180511;000000;0.0524000;0.0527000;0.0520400;0.0523800;20554770000
20180514;000000;0.0524000;0.0527300;0.0521700;0.0525000;19646580000
20180515;000000;0.0522500;0.0523700;0.0511100;0.0515000;39732290000
20180516;000000;0.0512900;0.0516400;0.0511600;0.0513200;21031670000
20180517;000000;0.0515500;0.0519500;0.0512200;0.0512200;34337200000
20180518;000000;0.0514600;0.0515900;0.0510000;0.0512000;21596500000
20180521;000000;0.0513100;0.0518900;0.0512800;0.0515600;17443270000
20180522;000000;0.0516600;0.0516600;0.0513200;0.0513900;11007870000
20180523;000000;0.0513000;0.0516600;0.0511500;0.0511500;14306300000
20180524;000000;0.0513200;0.0515900;0.0511600;0.0512100;15135280000
20180525;000000;0.0512800;0.0514900;0.0507700;0.0510600;16268140000
20180528;000000;0.0511000;0.0515000;0.0510800;0.0514500;8743960000
20180529;000000;0.0513600;0.0515000;0.0509600;0.0512800;18238850000
20180530;000000;0.0513000;0.0516500;0.0511400;0.0513400;31434110000
20180531;000000;0.0514600;0.0516200;0.0498900;0.0498900;127549450000
20180601;000000;0.0474700;0.0482300;0.0474000;0.0474000;77251490000
20180604;000000;0.0476400;0.0478800;0.0468400;0.0470300;30369300000
20180605;000000;0.0471700;0.0476000;0.0470100;0.0474400;19214530000
20180606;000000;0.0474000;0.0476900;0.0470500;0.0472500;16492450000
20180607;000000;0.0474000;0.0474500;0.0468100;0.0468100;18637680000
20180608;000000;0.0467000;0.0467300;0.0453000;0.0453100;41001550000
20180609;000000;0.0453400;0.0456100;0.0453400;0.0455100;3836860000
20180611;000000;0.0455400;0.0456600;0.0445000;0.0451400;19105130000
20180613;000000;0.0448600;0.0452700;0.0446300;0.0447500;25625300000
20180614;000000;0.0447400;0.0452000;0.0445700;0.0446500;17229700000
20180615;000000;0.0448400;0.0450500;0.0445100;0.0445100;23610270000
20180618;000000;0.0445000;0.0463200;0.0444400;0.0461100;38358700000
20180619;000000;0.0460000;0.0460800;0.0451900;0.0451900;27483580000
