<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20180516;000000;148.6000000;150.7000000;148.1100000;148.5900000;43775810
20180517;000000;149.1500000;149.3600000;147.1500000;147.1500000;19160740
20180518;000000;147.2000000;147.8800000;145.1900000;145.6500000;21435990
20180521;000000;146.0000000;148.2000000;145.9000000;146.7600000;16198700
20180522;000000;146.9700000;147.6000000;146.4200000;146.5000000;13141580
20180523;000000;146.1800000;146.9400000;144.8800000;146.0600000;19430340
20180524;000000;146.3000000;147.1500000;144.9300000;145.2700000;20556400
20180525;000000;145.6300000;146.3000000;144.3600000;145.0900000;18117740
20180528;000000;145.4100000;145.7500000;144.7500000;145.0900000;6573030
20180529;000000;145.5800000;145.6100000;142.8800000;143.9000000;17528460
20180530;000000;144.0000000;144.8200000;142.5200000;143.2600000;21823420
20180531;000000;143.3000000;145.2100000;143.3000000;145.0000000;33892130
20180601;000000;144.5800000;145.5000000;143.5500000;144.0000000;17487300
20180604;000000;144.5300000;146.9000000;144.5100000;146.4400000;12800360
20180605;000000;146.5300000;146.5400000;145.2200000;146.0000000;12693440
20180606;000000;146.3500000;146.9000000;145.5300000;146.9000000;17153970
20180607;000000;147.1000000;147.5000000;146.0000000;146.0500000;12295670
20180608;000000;145.9600000;146.7500000;143.0500000;143.0500000;24404680
20180609;000000;143.3100000;144.1500000;143.3000000;144.0800000;1555190
20180611;000000;144.0300000;144.1800000;141.5600000;142.2800000;12697170
20180613;000000;142.5800000;142.7800000;140.6300000;141.0000000;23488110
20180614;000000;140.8800000;141.4400000;139.1400000;139.4000000;24957760
20180615;000000;139.7000000;140.8700000;137.6400000;137.7300000;42377140
20180618;000000;138.0800000;138.3000000;136.0000000;136.5200000;23017780
20180619;000000;136.0100000;136.2800000;132.8600000;135.5000000;36367180
20180620;000000;136.5000000;138.5000000;136.0000000;136.9100000;27041950
20180621;000000;136.6000000;137.9000000;134.0400000;134.4000000;28718050
20180622;000000;135.0000000;137.5500000;135.0000000;136.7600000;23927070
20180625;000000;136.5800000;138.4400000;136.5500000;137.1000000;17165720
20180626;000000;137.4400000;138.8800000;137.3600000;138.0700000;13703080
20180627;000000;138.0100000;139.8500000;137.0700000;139.0000000;18905710
20180628;000000;138.9800000;140.3300000;138.3500000;138.7600000;22645070
20180629;000000;139.3200000;141.0100000;139.1700000;141.0100000;25801410
20180702;000000;140.8300000;144.2000000;140.0700000;144.0000000;25199530
20180703;000000;144.1000000;144.2000000;141.9500000;142.4900000;15018610
